gene_name	chrom	arm	start	end	strand	gene_id
DPF1	chr19	q	38701646	38720354	-	ENSG00000011332.15
SPINT2	chr19	q	38734675	38783254	+	ENSG00000167642.8
PPP1R14A	chr19	q	38741877	38747231	-	ENSG00000167641.6
CTB-102L5.4	chr19	q	38779791	38795550	+	ENSG00000267748.2
C19orf33	chr19	q	38794801	38795649	+	ENSG00000167644.7
YIF1B	chr19	q	38795753	38807913	-	ENSG00000167645.12
KCNK6	chr19	q	38810484	38819660	+	ENSG00000099337.3
CATSPERG	chr19	q	38826415	38861589	+	ENSG00000099338.18
PSMD8	chr19	q	38865176	38874464	+	ENSG00000099341.7
GGN	chr19	q	38874905	38878722	-	ENSG00000179168.10
SPRED3	chr19	q	38879061	38886881	+	ENSG00000188766.8
FAM98C	chr19	q	38893775	38899728	+	ENSG00000130244.8
RASGRP4	chr19	q	38899695	38916945	-	ENSG00000171777.11
RYR1	chr19	q	38924339	39078204	+	ENSG00000196218.7
MAP4K1	chr19	q	39078281	39109522	-	ENSG00000104814.8
EIF3K	chr19	q	39109735	39127595	+	ENSG00000178982.5
ACTN4	chr19	q	39138289	39222223	+	ENSG00000130402.7
CAPN12	chr19	q	39220827	39260544	-	ENSG00000182472.4
LGALS7	chr19	q	39261611	39264132	-	ENSG00000205076.4
LGALS7B	chr19	q	39279851	39282389	+	ENSG00000178934.4
LGALS4	chr19	q	39292311	39304004	-	ENSG00000171747.4
ECH1	chr19	q	39306062	39322645	-	ENSG00000104823.4
AC104534.3	chr19	q	39308111	39330818	-	ENSG00000268083.1
HNRNPL	chr19	q	39327028	39342987	-	ENSG00000104824.12
RINL	chr19	q	39358470	39368919	-	ENSG00000187994.9
SIRT2	chr19	q	39369197	39390502	-	ENSG00000068903.15
NFKBIB	chr19	q	39390340	39399533	+	ENSG00000104825.12
CTC-360G5.1	chr19	q	39399620	39402798	-	ENSG00000262484.1
SARS2	chr19	q	39405906	39440495	-	ENSG00000104835.10
CTC-360G5.8	chr19	q	39406044	39440495	-	ENSG00000269547.1
MRPS12	chr19	q	39421188	39423802	+	ENSG00000128626.7
FBXO17	chr19	q	39432044	39466550	-	ENSG00000269190.1
FBXO27	chr19	q	39481354	39523425	-	ENSG00000161243.4
PAPL	chr19	q	39574553	39602133	+	ENSG00000183760.6
PAK4	chr19	q	39616410	39673456	+	ENSG00000130669.13
NCCRP1	chr19	q	39687601	39692524	+	ENSG00000188505.4
SYCN	chr19	q	39693471	39694906	-	ENSG00000179751.6
IFNL3	chr19	q	39734246	39735646	-	ENSG00000197110.4
IFNL2	chr19	q	39759154	39760732	+	ENSG00000183709.7
IFNL1	chr19	q	39786965	39789313	+	ENSG00000182393.2
LRFN1	chr19	q	39797208	39805976	-	ENSG00000128011.4
GMFG	chr19	q	39818993	39833012	-	ENSG00000130755.8
SAMD4B	chr19	q	39833036	39876350	+	ENSG00000179134.10
PAF1	chr19	q	39876492	39881835	-	ENSG00000006712.10
MED29	chr19	q	39881943	39891277	+	ENSG00000063322.9
ZFP36	chr19	q	39897453	39900052	+	ENSG00000128016.4
PLEKHG2	chr19	q	39903225	39919054	+	ENSG00000090924.10
RPS16	chr19	q	39923847	39926588	-	ENSG00000105193.4
SUPT5H	chr19	q	39926796	39967310	+	ENSG00000196235.9
AC011500.1	chr19	q	39930212	39932082	+	ENSG00000213922.1
TIMM50	chr19	q	39971052	39984422	+	ENSG00000105197.6
DLL3	chr19	q	39989535	39999121	+	ENSG00000090932.6
SELV	chr19	q	40005753	40011326	+	ENSG00000186838.9
EID2B	chr19	q	40021630	40023494	-	ENSG00000176401.5
EID2	chr19	q	40028890	40030870	-	ENSG00000176396.9
LGALS13	chr19	q	40093164	40098116	+	ENSG00000105198.6
LGALS16	chr19	q	40146534	40151287	+	ENSG00000249861.3
LGALS14	chr19	q	40194946	40200084	+	ENSG00000006659.8
CLC	chr19	q	40221890	40228668	-	ENSG00000105205.6
LEUTX	chr19	q	40267235	40276775	+	ENSG00000213921.6
DYRK1B	chr19	q	40315990	40324841	-	ENSG00000105204.9
FBL	chr19	q	40325098	40337054	-	ENSG00000105202.3
FCGBP	chr19	q	40353963	40440533	-	ENSG00000090920.9
PSMC4	chr19	q	40476912	40487348	+	ENSG00000013275.3
ZNF546	chr19	q	40490041	40523514	+	ENSG00000187187.9
ZNF780B	chr19	q	40534167	40562116	-	ENSG00000128000.11
ZNF780A	chr19	q	40575059	40596845	-	ENSG00000197782.10
MAP3K10	chr19	q	40697651	40721482	+	ENSG00000130758.3
TTC9B	chr19	q	40721965	40724306	-	ENSG00000174521.7
CNTD2	chr19	q	40728115	40732597	-	ENSG00000105219.4
AKT2	chr19	q	40736224	40791443	-	ENSG00000105221.12
C19orf47	chr19	q	40825443	40854434	-	ENSG00000160392.9
PLD3	chr19	q	40854363	40886346	+	ENSG00000105223.14
HIPK4	chr19	q	40885178	40896094	-	ENSG00000160396.8
PRX	chr19	q	40899675	40919273	-	ENSG00000105227.10
SERTAD1	chr19	q	40927499	40931932	-	ENSG00000197019.4
SERTAD3	chr19	q	40946751	40950612	-	ENSG00000167565.8
BLVRB	chr19	q	40953696	40971747	-	ENSG00000090013.5
SPTBN4	chr19	q	40972148	41082370	+	ENSG00000160460.11
SHKBP1	chr19	q	41082757	41097305	+	ENSG00000160410.10
LTBP4	chr19	q	41098789	41135725	+	ENSG00000090006.13
NUMBL	chr19	q	41172596	41196877	-	ENSG00000105245.5
ADCK4	chr19	q	41197434	41224112	-	ENSG00000123815.7
ITPKC	chr19	q	41223008	41246765	+	ENSG00000086544.2
C19orf54	chr19	q	41246761	41257458	-	ENSG00000188493.10
SNRPA	chr19	q	41256542	41271294	+	ENSG00000077312.4
MIA-RAB4B	chr19	q	41277553	41292590	+	ENSG00000268975.1
MIA	chr19	q	41277553	41283395	+	ENSG00000261857.2
RAB4B	chr19	q	41284121	41302847	+	ENSG00000167578.12
RAB4B-EGLN2	chr19	q	41284147	41314103	+	ENSG00000171570.6
EGLN2	chr19	q	41304901	41314338	+	ENSG00000269858.1
CTC-490E21.12	chr19	q	41307202	41404187	+	ENSG00000268797.1
CYP2A6	chr19	q	41349443	41356352	-	ENSG00000255974.2
CYP2A7	chr19	q	41381344	41388657	-	ENSG00000198077.6
CYP2B6	chr19	q	41497204	41524303	+	ENSG00000197408.4
CYP2A13	chr19	q	41594377	41602100	+	ENSG00000197838.4
CYP2F1	chr19	q	41620337	41634271	+	ENSG00000197446.4
CYP2S1	chr19	q	41698954	41713444	+	ENSG00000167600.9
AXL	chr19	q	41725108	41767671	+	ENSG00000167601.7
HNRNPUL1	chr19	q	41768401	41813503	+	ENSG00000105323.12
TGFB1	chr19	q	41807492	41859816	-	ENSG00000105329.5
CCDC97	chr19	q	41816094	41830788	+	ENSG00000142039.3
CTC-435M10.3	chr19	q	41856758	41930906	+	ENSG00000255730.2
TMEM91	chr19	q	41856816	41889988	+	ENSG00000142046.10
B9D2	chr19	q	41860326	41870078	-	ENSG00000123810.3
BCKDHA	chr19	q	41884215	41930910	+	ENSG00000248098.6
EXOSC5	chr19	q	41892279	41903384	-	ENSG00000077348.4
B3GNT8	chr19	q	41931264	41934635	-	ENSG00000177191.2
ATP5SL	chr19	q	41937223	41946622	-	ENSG00000105341.14
C19orf69	chr19	q	41949063	41950670	+	ENSG00000204978.2
CEACAM21	chr19	q	42055886	42093197	+	ENSG00000007129.13
CEACAM4	chr19	q	42125344	42133442	-	ENSG00000105352.6
CEACAM7	chr19	q	42177235	42210895	-	ENSG00000007306.10
CEACAM5	chr19	q	42212504	42233718	+	ENSG00000105388.10
CEA	chr19	q	42212531	42265190	+	ENSG00000267881.1
CEACAM6	chr19	q	42254885	42276113	+	ENSG00000086548.8
CEACAM3	chr19	q	42300369	42315591	+	ENSG00000170956.12
LYPD4	chr19	q	42341148	42348760	-	ENSG00000183103.6
DMRTC2	chr19	q	42348806	42356401	+	ENSG00000142025.11
RPS19	chr19	q	42363988	42376994	+	ENSG00000105372.2
CD79A	chr19	q	42381190	42385439	+	ENSG00000105369.5
ARHGEF1	chr19	q	42387228	42434302	+	ENSG00000076928.13
RABAC1	chr19	q	42460833	42463542	-	ENSG00000105404.6
ATP1A3	chr19	q	42470734	42501649	-	ENSG00000105409.11
GRIK5	chr19	q	42502473	42573650	-	ENSG00000105737.5
ZNF574	chr19	q	42572629	42585701	+	ENSG00000105732.9
POU2F2	chr19	q	42590263	42700737	-	ENSG00000028277.16
DEDD2	chr19	q	42702750	42724292	-	ENSG00000160570.9
ZNF526	chr19	q	42724423	42732353	+	ENSG00000167625.6
GSK3A	chr19	q	42734338	42746777	-	ENSG00000105723.7
AC006486.9	chr19	q	42738735	42759284	-	ENSG00000268643.1
AC006486.1	chr19	q	42746927	42749125	+	ENSG00000204957.1
ERF	chr19	q	42751724	42759309	-	ENSG00000105722.5
CIC	chr19	q	42772689	42799949	+	ENSG00000079432.3
PAFAH1B3	chr19	q	42801185	42807698	-	ENSG00000079462.3
PRR19	chr19	q	42806250	42814973	+	ENSG00000188368.5
TMEM145	chr19	q	42817477	42829214	+	ENSG00000167619.7
MEGF8	chr19	q	42829761	42882921	+	ENSG00000105429.8
CNFN	chr19	q	42891171	42894439	-	ENSG00000105427.5
LIPE	chr19	q	42905659	42931578	-	ENSG00000079435.5
CXCL17	chr19	q	42932440	42947200	-	ENSG00000189377.4
CEACAM1	chr19	q	43011456	43065386	-	ENSG00000079385.17
CEACAM8	chr19	q	43084393	43099207	-	ENSG00000124469.6
PSG3	chr19	q	43225790	43244721	-	ENSG00000221826.5
PSG8	chr19	q	43256838	43359843	-	ENSG00000124467.14
PSG1	chr19	q	43370616	43383974	-	ENSG00000231924.5
PSG6	chr19	q	43406231	43423715	-	ENSG00000170848.11
PSG11	chr19	q	43511808	43530664	-	ENSG00000243130.3
PSG2	chr19	q	43568363	43587197	-	ENSG00000242221.4
PSG5	chr19	q	43670408	43690688	-	ENSG00000204941.9
PSG4	chr19	q	43696854	43711451	-	ENSG00000243137.3
PSG9	chr19	q	43715943	43773682	-	ENSG00000183668.13
TEX101	chr19	q	43905648	43922763	+	ENSG00000131126.14
LYPD3	chr19	q	43964939	43969812	-	ENSG00000124466.8
PHLDB3	chr19	q	43979106	44009087	-	ENSG00000176531.6
ETHE1	chr19	q	44010871	44031396	-	ENSG00000105755.3
ZNF575	chr19	q	44029649	44040282	+	ENSG00000176472.6
XRCC1	chr19	q	44047192	44084625	-	ENSG00000073050.7
L34079.2	chr19	q	44058844	44097188	-	ENSG00000268361.1
PINLYP	chr19	q	44080952	44088116	+	ENSG00000234465.6
IRGQ	chr19	q	44088521	44100287	-	ENSG00000167378.4
ZNF576	chr19	q	44100544	44105309	+	ENSG00000124444.11
SRRM5	chr19	q	44100769	44118649	+	ENSG00000226763.3
ZNF428	chr19	q	44111371	44124026	-	ENSG00000131116.7
CADM4	chr19	q	44126520	44143991	-	ENSG00000105767.2
PLAUR	chr19	q	44150247	44174699	-	ENSG00000011422.7
IRGC	chr19	q	44220162	44224173	+	ENSG00000124449.6
SMG9	chr19	q	44235301	44259142	-	ENSG00000105771.9
KCNN4	chr19	q	44270685	44285409	-	ENSG00000104783.7
LYPD5	chr19	q	44300081	44331358	-	ENSG00000159871.10
ZNF283	chr19	q	44331444	44353307	+	ENSG00000167637.12
ZNF404	chr19	q	44376515	44405537	-	ENSG00000176222.7
ZNF45	chr19	q	44416781	44439430	-	ENSG00000124459.7
ZNF221	chr19	q	44455375	44471861	+	ENSG00000159905.10
ZNF155	chr19	q	44472014	44502477	+	ENSG00000204920.6
ZNF230	chr19	q	44507100	44518078	+	ENSG00000159882.8
ZNF222	chr19	q	44529494	44537265	+	ENSG00000159885.9
ZNF223	chr19	q	44529506	44591471	+	ENSG00000267022.1
ZNF223	chr19	q	44555520	44572144	+	ENSG00000178386.8
ZNF284	chr19	q	44576297	44593766	+	ENSG00000186026.6
ZNF224	chr19	q	44598492	44612479	+	ENSG00000267680.1
ZNF225	chr19	q	44616334	44637027	+	ENSG00000256294.3
ZNF234	chr19	q	44645710	44663156	+	ENSG00000263002.3
ZNF226	chr19	q	44669226	44682534	+	ENSG00000167380.12
ZNF227	chr19	q	44711700	44741421	+	ENSG00000131115.11
ZNF235	chr19	q	44732882	44809199	-	ENSG00000159917.10
ZNF233	chr19	q	44754318	44779470	+	ENSG00000159915.8
ZNF112	chr19	q	44830708	44871377	-	ENSG00000062370.12
CTC-512J12.6	chr19	q	44833848	44905774	-	ENSG00000267173.1
ZNF285	chr19	q	44886459	44905774	-	ENSG00000267508.1
ZNF229	chr19	q	44921685	44952766	-	ENSG00000167383.4
ZNF180	chr19	q	44979854	45004576	-	ENSG00000167384.6
IGSF23	chr19	q	45116940	45140081	+	ENSG00000216588.4
PVR	chr19	q	45147098	45166850	+	ENSG00000073008.10
CEACAM19	chr19	q	45165545	45187631	+	ENSG00000186567.8
CEACAM16	chr19	q	45202421	45213986	+	ENSG00000213892.6
BCL3	chr19	q	45250962	45263301	+	ENSG00000069399.8
CBLC	chr19	q	45281126	45303891	+	ENSG00000142273.6
BCAM	chr19	q	45312328	45324673	+	ENSG00000187244.6
PVRL2	chr19	q	45349432	45392485	+	ENSG00000130202.5
TOMM40	chr19	q	45393826	45406946	+	ENSG00000130204.8
APOE	chr19	q	45409011	45412650	+	ENSG00000130203.5
APOC1	chr19	q	45417504	45422606	+	ENSG00000130208.5
APOC4-APOC2	chr19	q	45445495	45452822	+	ENSG00000224916.4
APOC4	chr19	q	45445495	45452820	+	ENSG00000267467.2
APOC2	chr19	q	45449243	45452822	+	ENSG00000234906.4
CTB-129P6.11	chr19	q	45453301	45457264	-	ENSG00000267114.1
CLPTM1	chr19	q	45457842	45496599	+	ENSG00000104853.11
RELB	chr19	q	45504688	45541452	+	ENSG00000104856.9
CLASRP	chr19	q	45542298	45574214	+	ENSG00000104859.10
ZNF296	chr19	q	45574758	45579846	-	ENSG00000170684.4
GEMIN7	chr19	q	45582453	45594782	+	ENSG00000142252.6
MARK4	chr19	q	45582546	45808541	+	ENSG00000007047.10
PPP1R37	chr19	q	45594654	45651335	+	ENSG00000104866.6
NKPD1	chr19	q	45653008	45663408	-	ENSG00000179846.7
TRAPPC6A	chr19	q	45666186	45681495	-	ENSG00000007255.6
BLOC1S3	chr19	q	45682003	45685059	+	ENSG00000189114.6
AC005779.2	chr19	q	45683080	45705702	+	ENSG00000267545.1
AC006126.3	chr19	q	45690646	45720191	+	ENSG00000266958.1
EXOC3L2	chr19	q	45715879	45737469	-	ENSG00000130201.3
CKM	chr19	q	45809672	45826235	-	ENSG00000104879.4
KLC3	chr19	q	45836692	45854778	+	ENSG00000104892.12
L47234.1	chr19	q	45842445	45842639	+	ENSG00000268341.1
ERCC2	chr19	q	45853095	45874176	-	ENSG00000104884.10
PPP1R13L	chr19	q	45882892	45909607	-	ENSG00000104881.10
CD3EAP	chr19	q	45909467	45914024	+	ENSG00000117877.6
ERCC1	chr19	q	45910591	45982086	-	ENSG00000012061.11
FOSB	chr19	q	45971253	45978437	+	ENSG00000125740.9
RTN2	chr19	q	45988547	46000319	-	ENSG00000125744.7
PPM1N	chr19	q	45992035	46005768	+	ENSG00000213889.6
VASP	chr19	q	46009837	46030241	+	ENSG00000125753.9
OPA3	chr19	q	46030685	46105470	-	ENSG00000125741.4
GPR4	chr19	q	46093022	46105466	-	ENSG00000177464.4
EML2	chr19	q	46110252	46148887	-	ENSG00000125746.10
AC006132.1	chr19	q	46144752	46146098	+	ENSG00000267757.1
GIPR	chr19	q	46171502	46186982	+	ENSG00000010310.4
SNRPD2	chr19	q	46190712	46195827	-	ENSG00000125743.6
QPCTL	chr19	q	46195741	46207247	+	ENSG00000011478.7
FBXO46	chr19	q	46213887	46234162	-	ENSG00000177051.5
AC074212.3	chr19	q	46236509	46267792	+	ENSG00000237452.2
SIX5	chr19	q	46268043	46272484	-	ENSG00000177045.6
DMPK	chr19	q	46272975	46285810	-	ENSG00000104936.13
AC011530.4	chr19	q	46282695	46289231	-	ENSG00000268434.1
DMWD	chr19	q	46286205	46296060	-	ENSG00000185800.7
RSPH6A	chr19	q	46298968	46318577	-	ENSG00000104941.3
SYMPK	chr19	q	46318668	46366548	-	ENSG00000125755.14
FOXA3	chr19	q	46367247	46377055	+	ENSG00000170608.2
IRF2BP1	chr19	q	46386866	46389376	-	ENSG00000170604.3
MYPOP	chr19	q	46393278	46405862	-	ENSG00000176182.5
NANOS2	chr19	q	46416475	46418036	-	ENSG00000188425.2
NOVA2	chr19	q	46436992	46476804	-	ENSG00000104967.6
CCDC61	chr19	q	46498339	46524576	+	ENSG00000104983.4
PGLYRP1	chr19	q	46522411	46526323	-	ENSG00000008438.4
IGFL4	chr19	q	46543006	46580376	-	ENSG00000204869.4
IGFL3	chr19	q	46623328	46627931	-	ENSG00000188624.2
IGFL2	chr19	q	46646363	46664556	+	ENSG00000204866.4
IGFL1	chr19	q	46733009	46734500	+	ENSG00000188293.5
HIF3A	chr19	q	46800303	46846690	+	ENSG00000124440.11
PPP5C	chr19	q	46850251	46896238	+	ENSG00000011485.10
CCDC8	chr19	q	46913629	46916841	-	ENSG00000169515.5
PNMAL1	chr19	q	46969748	46974820	-	ENSG00000182013.13
PPP5D1	chr19	q	46984053	47104457	-	ENSG00000230510.2
PNMAL2	chr19	q	46990163	46999755	-	ENSG00000204851.5
AC011484.1	chr19	q	46997765	46999755	+	ENSG00000204850.3
AC011551.3	chr19	q	47050313	47104118	-	ENSG00000268423.1
CALM3	chr19	q	47104331	47114050	+	ENSG00000160014.12
PTGIR	chr19	q	47123725	47128375	-	ENSG00000160013.4
GNG8	chr19	q	47137333	47137942	-	ENSG00000167414.4
DACT3	chr19	q	47150869	47164395	-	ENSG00000197380.6
PRKD2	chr19	q	47177532	47220384	-	ENSG00000105287.8
STRN4	chr19	q	47222764	47250251	-	ENSG00000090372.10
FKRP	chr19	q	47249303	47280245	+	ENSG00000181027.6
SLC1A5	chr19	q	47278140	47291851	-	ENSG00000105281.8
AP2S1	chr19	q	47341393	47354249	-	ENSG00000042753.7
ARHGAP35	chr19	q	47421933	47508334	+	ENSG00000160007.13
NPAS1	chr19	q	47523077	47549033	+	ENSG00000130751.5
TMEM160	chr19	q	47549165	47551888	-	ENSG00000130748.6
ZC3H4	chr19	q	47567444	47617009	-	ENSG00000130749.5
SAE1	chr19	q	47616531	47713886	+	ENSG00000142230.7
BBC3	chr19	q	47724081	47736023	-	ENSG00000105327.11
CCDC9	chr19	q	47759237	47775210	+	ENSG00000105321.8
PRR24	chr19	q	47778142	47778979	+	ENSG00000257704.2
C5AR1	chr19	q	47793280	47825323	+	ENSG00000197405.3
C5AR2	chr19	q	47835404	47846606	+	ENSG00000134830.3
DHX34	chr19	q	47852538	47885961	+	ENSG00000134815.14
MEIS3	chr19	q	47906381	47922780	-	ENSG00000105419.13
SLC8A2	chr19	q	47931274	47975425	-	ENSG00000118160.9
KPTN	chr19	q	47978401	47987525	-	ENSG00000118162.9
NAPA	chr19	q	47990894	48018497	-	ENSG00000105402.3
ZNF541	chr19	q	48023942	48059113	-	ENSG00000118156.8
GLTSCR1	chr19	q	48111453	48206533	+	ENSG00000063169.6
EHD2	chr19	q	48216600	48246391	+	ENSG00000024422.7
GLTSCR2	chr19	q	48248779	48260315	+	ENSG00000105373.14
SEPW1	chr19	q	48281829	48287943	+	ENSG00000178980.10
TPRX1	chr19	q	48304500	48322308	-	ENSG00000178928.4
CRX	chr19	q	48322703	48346587	+	ENSG00000105392.11
TPRX2P	chr19	q	48337701	48364769	+	ENSG00000259009.3
SULT2A1	chr19	q	48373723	48389654	-	ENSG00000105398.3
BSPH1	chr19	q	48471303	48495427	-	ENSG00000188334.3
ELSPBP1	chr19	q	48497908	48528410	+	ENSG00000169393.4
CABP5	chr19	q	48533210	48547310	-	ENSG00000105507.2
PLA2G4C	chr19	q	48551100	48614074	-	ENSG00000105499.9
LIG1	chr19	q	48618702	48673860	-	ENSG00000105486.9
C19orf68	chr19	q	48673949	48700877	+	ENSG00000185453.8
ZNF114	chr19	q	48675575	48790865	+	ENSG00000178150.4
CARD8	chr19	q	48684027	48759203	-	ENSG00000105483.12
CCDC114	chr19	q	48799714	48825151	-	ENSG00000105479.11
EMP3	chr19	q	48824766	48833810	+	ENSG00000142227.6
TMEM143	chr19	q	48835613	48867494	-	ENSG00000161558.6
SYNGR4	chr19	q	48867652	48879633	+	ENSG00000105467.4
KDELR1	chr19	q	48885827	48894810	-	ENSG00000105438.4
GRIN2D	chr19	q	48898132	48948188	+	ENSG00000105464.3
GRWD1	chr19	q	48949030	48960279	+	ENSG00000105447.8
KCNJ14	chr19	q	48958766	48969367	+	ENSG00000182324.5
CTC-273B12.7	chr19	q	48969094	48975688	+	ENSG00000268465.1
CYTH2	chr19	q	48972289	48985571	+	ENSG00000105443.9
LMTK3	chr19	q	48988528	49016446	-	ENSG00000142235.4
SULT2B1	chr19	q	49055332	49102682	+	ENSG00000088002.7
FAM83E	chr19	q	49104067	49118111	-	ENSG00000105523.3
SPACA4	chr19	q	49110000	49110970	+	ENSG00000177202.1
RPL18	chr19	q	49118585	49122793	-	ENSG00000063177.8
SPHK2	chr19	q	49122548	49133974	+	ENSG00000063176.11
DBP	chr19	q	49133287	49140695	-	ENSG00000105516.6
CA11	chr19	q	49141199	49149569	-	ENSG00000063180.4
NTN5	chr19	q	49164664	49176338	-	ENSG00000142233.7
FUT2	chr19	q	49199228	49209207	+	ENSG00000176920.10
MAMSTR	chr19	q	49215999	49222978	-	ENSG00000176909.7
RASIP1	chr19	q	49223844	49243978	-	ENSG00000105538.4
IZUMO1	chr19	q	49244109	49250166	-	ENSG00000182264.4
FUT1	chr19	q	49251268	49258647	-	ENSG00000174951.6
FGF21	chr19	q	49258816	49261587	+	ENSG00000105550.4
BCAT2	chr19	q	49298319	49314286	-	ENSG00000105552.10
HSD17B14	chr19	q	49316274	49339935	-	ENSG00000087076.4
PLEKHA4	chr19	q	49340354	49371889	-	ENSG00000105559.7
PPP1R15A	chr19	q	49375649	49379314	+	ENSG00000087074.7
TULP2	chr19	q	49384222	49401990	-	ENSG00000104804.3
NUCB1	chr19	q	49403307	49426629	+	ENSG00000104805.11
DHDH	chr19	q	49436939	49448226	+	ENSG00000104808.3
BAX	chr19	q	49458072	49465055	+	ENSG00000087088.15
FTL	chr19	q	49468558	49470135	+	ENSG00000087086.9
GYS1	chr19	q	49471382	49496567	-	ENSG00000104812.10
RUVBL2	chr19	q	49496705	49519252	+	ENSG00000183207.8
LHB	chr19	q	49519237	49520338	-	ENSG00000104826.7
CGB	chr19	q	49526126	49527590	-	ENSG00000104827.12
CTB-60B18.6	chr19	q	49526210	49540152	-	ENSG00000267335.2
CGB2	chr19	q	49535169	49536495	+	ENSG00000104818.14
CGB1	chr19	q	49538831	49552006	-	ENSG00000267631.3
CGB5	chr19	q	49547141	49548568	+	ENSG00000189052.6
CGB8	chr19	q	49550895	49552400	-	ENSG00000213030.4
CGB7	chr19	q	49557531	49562117	-	ENSG00000196337.6
NTF4	chr19	q	49559050	49568333	-	ENSG00000225950.3
KCNA7	chr19	q	49570675	49576198	-	ENSG00000104848.1
SNRNP70	chr19	q	49588676	49611862	+	ENSG00000104852.10
LIN7B	chr19	q	49617581	49621717	+	ENSG00000104863.7
C19orf73	chr19	q	49621655	49622397	-	ENSG00000221916.2
PPFIA3	chr19	q	49622646	49654283	+	ENSG00000177380.9
HRC	chr19	q	49654455	49658681	-	ENSG00000130528.7
TRPM4	chr19	q	49660998	49715093	+	ENSG00000130529.11
SLC6A16	chr19	q	49792895	49828482	-	ENSG00000063127.11
CD37	chr19	q	49838428	49846592	+	ENSG00000104894.7
TEAD2	chr19	q	49843852	49865714	-	ENSG00000074219.9
DKKL1	chr19	q	49865040	49878373	+	ENSG00000104901.2
CCDC155	chr19	q	49891475	49921251	+	ENSG00000161609.5
PTH2	chr19	q	49925671	49926698	-	ENSG00000142538.1
CTD-3148I10.1	chr19	q	49927006	49932075	+	ENSG00000261949.1
SLC17A7	chr19	q	49932658	49945617	-	ENSG00000104888.5
PIH1D1	chr19	q	49949555	49956754	-	ENSG00000104872.6
ALDH16A1	chr19	q	49956426	49974305	+	ENSG00000161618.5
CTD-3148I10.9	chr19	q	49966009	49989488	+	ENSG00000269469.1
FLT3LG	chr19	q	49977464	49989488	+	ENSG00000090554.8
RPL13A	chr19	q	49990811	49995565	+	ENSG00000142541.12
RPS11	chr19	q	49999622	50002946	+	ENSG00000142534.2
hsa-mir-150	chr19	q	50003781	50004614	+	ENSG00000268000.1
FCGRT	chr19	q	50010073	50029590	+	ENSG00000104870.8
RCN3	chr19	q	50030875	50050219	+	ENSG00000142552.3
NOSIP	chr19	q	50058968	50093519	-	ENSG00000142546.9
PRRG2	chr19	q	50083903	50094272	+	ENSG00000126460.6
PRR12	chr19	q	50094900	50129696	+	ENSG00000126464.9
RRAS	chr19	q	50138549	50143458	-	ENSG00000126458.3
SCAF1	chr19	q	50145382	50161899	+	ENSG00000126461.10
IRF3	chr19	q	50162826	50169132	-	ENSG00000126456.11
BCL2L12	chr19	q	50168823	50177173	+	ENSG00000126453.5
PRMT1	chr19	q	50179043	50192286	+	ENSG00000126457.16
ADM5	chr19	q	50191921	50193832	+	ENSG00000224420.3
CPT1C	chr19	q	50194155	50216988	+	ENSG00000169169.10
TSKS	chr19	q	50243010	50266587	-	ENSG00000126467.6
AP2A1	chr19	q	50270225	50310370	+	ENSG00000196961.8
FUZ	chr19	q	50310126	50320633	-	ENSG00000010361.9
MED25	chr19	q	50321539	50342073	+	ENSG00000104973.10
PTOV1	chr19	q	50353992	50364001	+	ENSG00000104960.11
PNKP	chr19	q	50364461	50371166	-	ENSG00000039650.5
AKT1S1	chr19	q	50372295	50381716	-	ENSG00000204673.6
TBC1D17	chr19	q	50380682	50392005	+	ENSG00000104946.6
IL4I1	chr19	q	50392911	50432796	-	ENSG00000104951.11
NUP62	chr19	q	50410082	50433020	-	ENSG00000213024.6
CTC-326K19.6	chr19	q	50412758	50461648	-	ENSG00000269179.1
ATF5	chr19	q	50431959	50437192	+	ENSG00000169136.4
SIGLEC11	chr19	q	50452242	50464429	-	ENSG00000161640.11
VRK3	chr19	q	50479724	50529203	-	ENSG00000105053.6
ZNF473	chr19	q	50528971	50556671	+	ENSG00000142528.11
IZUMO2	chr19	q	50655805	50666452	-	ENSG00000161652.8
MYH14	chr19	q	50691443	50813802	+	ENSG00000105357.11
KCNC3	chr19	q	50815194	50836772	-	ENSG00000131398.9
NR1H2	chr19	q	50832910	50886239	+	ENSG00000131408.9
NAPSA	chr19	q	50861734	50869087	-	ENSG00000131400.3
POLD1	chr19	q	50887461	50921273	+	ENSG00000062822.8
CTD-2545M3.6	chr19	q	50919056	50931666	+	ENSG00000142539.9
SPIB	chr19	q	50922195	50934570	+	ENSG00000269404.2
MYBPC2	chr19	q	50936160	50969578	+	ENSG00000086967.9
FAM71E1	chr19	q	50970042	50980010	-	ENSG00000142530.6
EMC10	chr19	q	50979657	50986608	+	ENSG00000161671.12
JOSD2	chr19	q	51009255	51014610	-	ENSG00000161677.7
ASPDH	chr19	q	51014857	51017947	-	ENSG00000204653.5
LRRC4B	chr19	q	51020149	51071302	-	ENSG00000131409.8
SYT3	chr19	q	51124564	51171651	-	ENSG00000213023.5
C19orf81	chr19	q	51152702	51162567	+	ENSG00000235034.2
SHANK1	chr19	q	51165084	51222707	-	ENSG00000161681.11
CLEC11A	chr19	q	51226586	51228974	+	ENSG00000105472.8
GPR32	chr19	q	51273721	51274989	+	ENSG00000142511.4
ACPT	chr19	q	51293672	51298481	+	ENSG00000142513.4
C19orf48	chr19	q	51300961	51308186	-	ENSG00000167747.9
KLK1	chr19	q	51322404	51327043	-	ENSG00000167748.6
